Arulmigu Sri Parthasarathy Perumal Temple Tiruvallikeni,Hindu temple,Chennai
The Bund,Historical place,Shanghai
Oriental Pearl TV Tower,Tourist attraction,Shanghai
Yu Garden,Botanical garden,Shanghai
广州塔,Point of interest,Guangzhou
Chimelong Paradise,Amusement park,Guangzhou
长隆野生动物世界,Zoo,Guangzhou
Miniatur Wunderland,Museum,Hamburg
St. Michael's Church,Evangelical church,Hamburg
Planten un Blomen,State park,Hamburg
Place de la Bourse,Historical landmark,Bordeaux
Cathédrale Saint-André de Bordeaux,Catholic cathedral,Bordeaux
Jardin Public,City park,Bordeaux
Cathédrale Saint-Nicolas de Nice,Russian Orthodox church,Nice
Marc Chagall National Museum,National museum,Nice
Cathédrale Sainte-Réparate de Nice,Cathedral,Nice
Parque Ibirapuera,Park and Garden,São Paulo
Museum of Art of São Paulo Assis Chateaubriand,Art museum,São Paulo
Mercado Municipal de São Paulo,Market,São Paulo
Teatro Colón,Performing arts theatre,Buenos Aires
Museo de Arte Latinoamericano de Buenos Aires,Art museum,Buenos Aires
Museo Nacional de Bellas Artes,Art museum,Buenos Aires
Parque General San Martín,Park and Garden,Mendoza
"Plaza Independencia, Mendoza",Park and Garden,Mendoza
Museo del Área Fundacional,Museum,Mendoza
Two Oceans Aquarium,Aquarium,Cape Town
V&A Waterfront,Shopping Centre,Cape Town
Iziko Bo-Kaap Museum,Museum,Cape Town
The National Museum,Museum,Riyadh
Al Rajhi Mosque,Mosque,Riyadh
King Abdullah Park,Park and Garden,Riyadh
King Fahad's Fountain,Tourist attraction,Jeddah
Red Sea Mall,Shopping Centre,Jeddah
Cenomi Mall of Arabia,Shopping Centre,Jeddah
Sky Tower,Tourist attraction,Auckland
Auckland War Memorial Museum,Museum,Auckland
Auckland Zoo,Zoo,Auckland
Museum of New Zealand Te Papa Tongarewa,Museum,Wellington
Zealandia Te Māra a Tāne,Wildlife Refuge,Wellington
Wellington Cable Car,Transportation service,Wellington
Langkawi Sky Bridge,Tourist attraction,Langkawi
Langkawi Skybridge Cable Car,Mountain cable car,Langkawi
Dataran Lang,Scenic point,Langkawi
Sensō-ji,Buddhist temple,Tokyo
Tokyo Skytree,Observation deck,Tokyo
Shinjuku Gyoen National Garden,Garden,Tokyo
Universal Studios Japan,Theme park,Osaka
Osaka Castle,Castle,Osaka
Dotonbori,Tourist attraction,Osaka
Kinkaku-ji,Buddhist temple,Kyoto
Kiyomizu-dera,Buddhist temple,Kyoto
Fushimi Inari Taisha,Shinto shrine,Kyoto
Nairobi National Park,National park,Nairobi
Giraffe Centre,Nature reserve,Nairobi
National Museum of Kenya,National museum,Nairobi
